conversation_id,from_id,from_name,from_email,message_id,message,type,inserted_at,has_phone,phone_info,is_hidden,is_removed,like_count,page_id,customer_id
conv_65,user_177,Alice Williams,LVPEq@outlook.com,msg_539,Hello,INBOX,2023-09-18 01:21:00,True,['+9334001761'],True,True,4,page_24,735
conv_66,user_120,Alice Davis,pXrcd@gmail.com,msg_7188,Feedback,INBOX,2023-09-29 04:59:00,False,['+7516635523'],False,False,91,page_18,12
conv_67,user_917,Alice Brown,YGolI@gmail.com,msg_3984,Need help,RATING,2023-09-16 22:32:00,True,[None],False,True,70,page_16,733
conv_68,user_321,Bob Garcia,pqEPP@gmail.com,msg_1345,Need help,INBOX,2023-12-24 16:43:00,True,[None],True,True,1,page_41,732
conv_69,user_792,Emily Brown,JpgVp@yahoo.com,msg_8190,Hello,RATING,2023-12-13 18:02:00,False,[None],True,True,89,page_2,752
conv_70,user_58,Jane Brown,nHWYi@outlook.com,msg_1122,Inquiry,INBOX,2023-05-29 03:51:00,False,['+1495675412'],False,True,32,page_24,386
conv_71,user_31,David Williams,CzrgW@yahoo.com,msg_5448,Inquiry,INBOX,2023-02-14 06:15:00,True,['+4679135483'],True,True,50,page_63,782
conv_72,user_122,Sophia Davis,tNKgH@outlook.com,msg_4996,Feedback,INBOX,2023-07-26 05:20:00,True,[None],True,True,47,page_43,830
conv_73,user_553,Emily Davis,mRjBU@outlook.com,msg_4095,Feedback,RATING,2023-04-23 20:22:00,False,['+3216632097'],True,False,21,page_50,734
conv_74,user_302,Bob Johnson,KKeod@gmail.com,msg_968,Hello,RATING,2023-01-22 02:50:00,True,[None],True,False,6,page_2,141
conv_75,user_959,Jane Williams,uCDed@outlook.com,msg_9700,Inquiry,INBOX,2023-01-19 15:16:00,False,['+7875229286'],True,True,17,page_44,612
conv_76,user_154,Bob Jones,QZmPk@yahoo.com,msg_801,Feedback,RATING,2023-09-20 16:02:00,True,[None],False,False,45,page_20,683
conv_77,user_992,Alice Brown,CufHu@yahoo.com,msg_5029,Feedback,INBOX,2023-04-21 09:53:00,False,['+5311568902'],False,True,32,page_40,328
conv_78,user_702,Charlie Jones,COyaY@yahoo.com,msg_6247,Inquiry,INBOX,2023-11-16 00:54:00,True,[None],False,False,47,page_37,238
conv_79,user_703,Charlie Williams,lqVee@gmail.com,msg_1886,Need help,COMMENT,2024-01-01 06:12:00,True,[None],False,False,92,page_39,244
conv_80,user_99,John Johnson,dOFZo@outlook.com,msg_1643,Need help,RATING,2023-11-26 02:49:00,True,[None],False,True,60,page_3,214
conv_81,user_891,Alice Garcia,dGLxd@outlook.com,msg_8255,Inquiry,INBOX,2023-08-31 14:01:00,False,['+5383655109'],True,False,12,page_17,233
conv_82,user_115,David Smith,sImPU@outlook.com,msg_5698,Support request,RATING,2023-06-26 04:50:00,True,[None],False,False,41,page_10,126
conv_83,user_460,John Smith,EHNSJ@yahoo.com,msg_5731,Need help,RATING,2023-12-31 00:10:00,True,['+4769619301'],False,False,15,page_43,539
conv_84,user_850,Jane Davis,wDUpE@outlook.com,msg_8444,Need help,RATING,2023-09-18 13:35:00,True,[None],True,False,21,page_25,428
conv_85,user_459,Alice Smith,nmuMz@yahoo.com,msg_7411,Support request,COMMENT,2023-08-18 05:23:00,True,['+1827289708'],False,False,77,page_76,476
conv_86,user_266,Jane Miller,HuGJS@outlook.com,msg_2451,Inquiry,COMMENT,2023-09-24 10:16:00,True,[None],True,True,71,page_76,394
conv_87,user_595,David Davis,mFFDD@outlook.com,msg_8852,Support request,RATING,2023-05-18 04:35:00,True,[None],False,True,90,page_17,508
conv_88,user_574,Sophia Brown,RVeJo@outlook.com,msg_8516,Support request,COMMENT,2023-07-04 05:22:00,False,[None],True,False,29,page_84,911
conv_89,user_524,Alice Davis,XRkAc@yahoo.com,msg_96,Need help,COMMENT,2023-01-29 05:14:00,False,[None],False,False,92,page_19,595
conv_90,user_256,David Garcia,oWTdZ@yahoo.com,msg_7500,Hello,COMMENT,2023-08-18 13:17:00,True,['+6090997842'],True,False,62,page_11,902
conv_91,user_475,Emily Brown,oHnMX@gmail.com,msg_7259,Need help,COMMENT,2023-04-03 08:37:00,True,[None],True,True,13,page_66,16
conv_92,user_159,Jane Smith,XiBiN@gmail.com,msg_5544,Hello,RATING,2023-12-21 16:47:00,True,['+4752748797'],True,True,21,page_8,137
conv_93,user_374,Bob Brown,qADiH@gmail.com,msg_4236,Feedback,INBOX,2023-07-03 22:12:00,False,['+2530142579'],True,True,8,page_34,911
conv_94,user_908,Charlie Miller,Gkpvh@gmail.com,msg_1492,Feedback,COMMENT,2023-06-03 03:12:00,False,['+1435280019'],True,False,3,page_31,514
conv_95,user_147,Alice Miller,BgEbR@gmail.com,msg_8609,Feedback,COMMENT,2023-05-15 20:04:00,False,['+3256764272'],False,False,61,page_39,147
conv_96,user_319,Bob Jones,ckVMy@outlook.com,msg_7802,Inquiry,COMMENT,2023-10-14 17:03:00,True,['+4762440155'],True,True,82,page_52,859
conv_97,user_234,Charlie Miller,uXgJm@yahoo.com,msg_152,Support request,INBOX,2023-10-21 02:28:00,False,['+8417695056'],False,True,31,page_17,808
conv_98,user_802,Sophia Miller,VrFvQ@gmail.com,msg_576,Feedback,RATING,2023-03-02 17:39:00,True,['+9353263601'],False,True,89,page_4,232
conv_99,user_728,Jane Williams,bwOdy@gmail.com,msg_1070,Support request,RATING,2023-05-22 21:09:00,False,[None],True,True,83,page_22,389
conv_100,user_978,John Johnson,yHanF@gmail.com,msg_8832,Inquiry,COMMENT,2023-12-18 16:15:00,True,[None],False,False,90,page_45,599
conv_101,user_749,David Williams,tKNll@gmail.com,msg_779,Inquiry,RATING,2023-04-27 15:57:00,True,['+3980891016'],True,True,76,page_78,449
conv_102,user_568,David Davis,QMavd@yahoo.com,msg_6468,Need help,COMMENT,2023-11-29 11:10:00,False,['+8414059082'],False,True,5,page_65,302
conv_103,user_360,David Garcia,WkjcD@gmail.com,msg_6075,Support request,RATING,2023-08-11 08:50:00,True,['+1047422619'],True,False,52,page_5,931
conv_104,user_950,Alice Davis,VwSoi@outlook.com,msg_2478,Inquiry,COMMENT,2023-08-29 00:38:00,False,['+3341484965'],True,False,17,page_87,79
conv_105,user_458,Charlie Jones,JWhOn@yahoo.com,msg_6556,Support request,RATING,2023-02-26 14:54:00,True,[None],False,True,4,page_99,924
conv_106,user_968,Alice Davis,FdaUG@yahoo.com,msg_6608,Feedback,INBOX,2023-09-12 23:56:00,False,['+4953341615'],True,False,4,page_85,992
conv_107,user_187,John Miller,rzgCI@yahoo.com,msg_1028,Feedback,COMMENT,2023-09-12 19:02:00,True,['+2720477446'],True,False,11,page_29,37
conv_108,user_808,Bob Garcia,Whscr@yahoo.com,msg_8334,Need help,RATING,2023-08-04 15:39:00,True,[None],True,False,0,page_6,90
conv_109,user_639,Bob Miller,QHlAO@outlook.com,msg_9348,Support request,COMMENT,2023-08-14 11:53:00,False,['+2178082877'],False,False,36,page_8,590
conv_110,user_16,Jane Brown,fHVCy@yahoo.com,msg_483,Feedback,INBOX,2023-04-23 02:04:00,True,[None],False,False,86,page_73,361
conv_111,user_214,Emily Miller,GEdkB@gmail.com,msg_2038,Hello,INBOX,2023-01-09 03:15:00,True,['+3131897148'],False,False,83,page_79,648
conv_112,user_36,Sophia Jones,qktFZ@yahoo.com,msg_7016,Hello,RATING,2023-07-27 03:15:00,True,['+9876759581'],True,False,54,page_53,10
conv_113,user_530,David Miller,hIHFq@gmail.com,msg_6862,Hello,COMMENT,2023-03-12 07:04:00,False,[None],False,True,39,page_28,385
conv_114,user_977,Alice Brown,uzuwb@outlook.com,msg_8094,Need help,INBOX,2023-01-16 17:10:00,True,['+8660459640'],True,True,88,page_90,444
conv_115,user_952,Charlie Williams,JDDsh@yahoo.com,msg_1389,Feedback,INBOX,2023-05-31 01:51:00,True,['+1600084248'],False,True,97,page_56,42
conv_116,user_140,Charlie Jones,LJxzh@gmail.com,msg_5748,Inquiry,INBOX,2023-03-20 19:00:00,True,[None],True,True,56,page_62,409
conv_117,user_333,David Davis,YNsse@gmail.com,msg_5551,Inquiry,COMMENT,2023-09-12 21:15:00,False,[None],False,False,14,page_26,30
conv_118,user_238,John Johnson,xgjee@outlook.com,msg_6417,Support request,COMMENT,2023-09-20 01:52:00,True,['+2127251380'],False,False,41,page_21,374
conv_119,user_516,Emily Miller,vJghE@outlook.com,msg_1336,Need help,COMMENT,2023-07-19 13:03:00,True,[None],False,True,88,page_42,822
conv_120,user_963,Charlie Smith,vGrEk@gmail.com,msg_4394,Hello,RATING,2023-02-14 00:12:00,False,['+3081381632'],False,True,83,page_79,871
conv_121,user_161,Sophia Jones,iyzFn@yahoo.com,msg_1156,Hello,INBOX,2023-03-06 01:04:00,False,['+3958756731'],False,False,80,page_39,747
conv_122,user_55,John Miller,kSCOk@outlook.com,msg_6193,Feedback,RATING,2023-08-25 06:18:00,False,['+6803976795'],False,True,99,page_57,352
conv_123,user_130,David Smith,fDJja@gmail.com,msg_4337,Need help,COMMENT,2023-07-15 18:02:00,True,['+7122231921'],True,True,75,page_55,181
conv_124,user_223,Jane Johnson,DKGDs@gmail.com,msg_5602,Support request,RATING,2023-05-18 08:52:00,False,['+3030485912'],False,False,73,page_86,716
conv_125,user_529,Alice Smith,MPvjB@yahoo.com,msg_8132,Need help,INBOX,2023-06-16 01:34:00,True,[None],True,True,67,page_53,857
conv_126,user_332,Alice Smith,uPSYo@yahoo.com,msg_4136,Support request,RATING,2023-06-23 20:48:00,True,['+7888378001'],True,False,24,page_18,879
conv_127,user_541,Jane Smith,xceVv@gmail.com,msg_2615,Feedback,INBOX,2023-11-20 05:31:00,True,['+3771331733'],True,False,62,page_45,802
conv_128,user_73,Bob Jones,KLsWt@yahoo.com,msg_5289,Need help,COMMENT,2023-04-09 03:43:00,True,['+4265640445'],False,True,56,page_32,642
conv_129,user_770,Sophia Brown,kQPDe@outlook.com,msg_7709,Hello,COMMENT,2023-08-18 11:05:00,True,[None],False,False,28,page_82,134
conv_130,user_890,Bob Brown,AkajG@outlook.com,msg_1522,Support request,RATING,2023-08-07 00:31:00,False,['+7989089638'],False,False,44,page_53,109
conv_131,user_893,Charlie Garcia,FDuGy@gmail.com,msg_7968,Need help,RATING,2023-12-21 12:26:00,True,['+5407395119'],False,True,37,page_17,133
conv_132,user_422,Bob Jones,dhFIj@yahoo.com,msg_2566,Need help,RATING,2023-11-21 19:16:00,False,['+6261002465'],True,True,57,page_15,262
conv_133,user_7,Bob Miller,nzAWN@outlook.com,msg_6195,Inquiry,RATING,2023-10-26 21:41:00,False,['+7151862521'],True,True,13,page_22,127
conv_134,user_859,John Jones,UnmIl@gmail.com,msg_1445,Inquiry,RATING,2023-07-31 18:24:00,False,['+4351227785'],True,True,79,page_2,911
conv_135,user_903,David Miller,fNYJn@yahoo.com,msg_3390,Feedback,RATING,2023-02-07 08:53:00,True,['+6977276219'],True,True,85,page_11,286
conv_136,user_156,Sophia Garcia,mzEUL@outlook.com,msg_4403,Feedback,RATING,2023-05-03 19:47:00,True,[None],True,True,69,page_17,386
conv_137,user_205,John Davis,gOyGu@outlook.com,msg_8207,Inquiry,INBOX,2023-04-01 04:42:00,False,['+4991207290'],False,True,97,page_2,411
conv_138,user_792,Alice Brown,VPmcv@yahoo.com,msg_6817,Need help,RATING,2023-03-12 06:57:00,True,['+1274774789'],True,True,9,page_68,821
conv_139,user_996,Sophia Miller,RkAIM@gmail.com,msg_4435,Need help,COMMENT,2023-11-24 14:50:00,False,['+9409714958'],True,True,25,page_56,564
conv_140,user_948,Emily Williams,PhEiF@gmail.com,msg_4136,Inquiry,INBOX,2023-05-02 02:29:00,False,[None],False,False,22,page_38,312
conv_141,user_107,Jane Miller,UIVPc@outlook.com,msg_6966,Feedback,RATING,2023-12-10 22:51:00,False,['+8710432184'],True,True,12,page_80,283
conv_142,user_779,Jane Johnson,rEkfx@gmail.com,msg_1248,Feedback,INBOX,2023-11-14 14:45:00,False,[None],False,False,12,page_95,121
conv_143,user_346,David Johnson,lluvJ@gmail.com,msg_3776,Inquiry,INBOX,2023-12-29 12:18:00,False,[None],True,True,71,page_32,180
conv_144,user_582,Emily Garcia,XpgCm@yahoo.com,msg_9217,Support request,COMMENT,2023-12-19 06:53:00,False,[None],True,True,3,page_29,621
conv_145,user_926,Jane Garcia,FaOUu@outlook.com,msg_305,Need help,RATING,2023-08-31 13:51:00,False,[None],True,True,46,page_56,253
conv_146,user_264,Sophia Williams,tRUJG@yahoo.com,msg_8084,Support request,COMMENT,2023-07-18 03:50:00,False,['+2095867277'],True,False,95,page_18,721
conv_147,user_927,Charlie Garcia,ziuRg@gmail.com,msg_6719,Support request,RATING,2023-01-23 07:18:00,True,[None],False,False,39,page_79,637
conv_148,user_235,Alice Garcia,ghFNP@outlook.com,msg_4626,Feedback,COMMENT,2023-07-23 20:15:00,False,['+3170865405'],False,True,12,page_63,912
conv_149,user_51,Emily Smith,dHQEg@gmail.com,msg_4088,Inquiry,INBOX,2023-05-23 13:27:00,True,[None],False,True,3,page_24,252
conv_150,user_607,Emily Garcia,PPVdQ@outlook.com,msg_3093,Inquiry,COMMENT,2023-02-17 07:22:00,True,['+8762743963'],False,False,85,page_4,62
conv_151,user_779,Alice Garcia,yAUyn@yahoo.com,msg_40,Support request,INBOX,2023-10-05 00:12:00,True,[None],True,False,79,page_70,145
conv_152,user_105,John Jones,lBLfm@gmail.com,msg_7779,Support request,INBOX,2023-12-11 15:39:00,False,['+5991905793'],True,False,100,page_47,233
conv_153,user_634,Emily Jones,GQvfV@outlook.com,msg_1942,Hello,INBOX,2023-09-12 10:14:00,True,['+8029271119'],False,True,90,page_8,935
conv_154,user_264,Sophia Davis,qeIAm@outlook.com,msg_3317,Inquiry,INBOX,2023-05-03 19:45:00,True,['+8961121924'],True,True,3,page_48,954
conv_155,user_987,Emily Smith,whyGX@gmail.com,msg_8451,Need help,COMMENT,2023-02-13 14:40:00,True,['+1979233461'],True,False,38,page_50,109
conv_156,user_979,Jane Williams,ohdre@gmail.com,msg_1447,Need help,COMMENT,2023-01-09 06:57:00,False,[None],True,False,95,page_42,367
conv_157,user_580,David Miller,MOMaH@gmail.com,msg_5706,Hello,INBOX,2023-10-14 13:04:00,False,['+8636501945'],True,True,38,page_61,988
conv_158,user_422,David Jones,yLFUU@gmail.com,msg_6292,Support request,COMMENT,2023-07-19 23:31:00,True,[None],False,False,28,page_4,605
conv_159,user_847,Emily Johnson,PPiLz@gmail.com,msg_7657,Hello,COMMENT,2023-09-29 02:51:00,False,[None],False,False,85,page_34,193
conv_160,user_869,Jane Miller,dZEHd@gmail.com,msg_2847,Support request,RATING,2023-08-16 13:45:00,True,[None],True,True,54,page_38,952
conv_161,user_549,Sophia Miller,GdnyC@gmail.com,msg_3338,Support request,INBOX,2023-07-30 08:57:00,True,[None],True,False,7,page_52,686
conv_162,user_686,Jane Brown,HdEnz@outlook.com,msg_5605,Hello,RATING,2023-08-28 03:20:00,True,['+5213172438'],False,False,43,page_35,650
conv_163,user_756,Sophia Williams,ZliCb@gmail.com,msg_6268,Feedback,INBOX,2023-09-01 02:16:00,False,['+7930859115'],False,True,2,page_30,878
conv_164,user_225,John Garcia,hqHNq@gmail.com,msg_1548,Need help,COMMENT,2023-11-01 19:14:00,False,['+1725620502'],False,False,80,page_62,468
conv_165,user_357,Sophia Johnson,XVdgc@yahoo.com,msg_9719,Hello,INBOX,2023-02-26 05:44:00,False,['+3673623519'],False,False,97,page_95,548
conv_166,user_936,David Jones,NkePz@outlook.com,msg_3001,Feedback,COMMENT,2023-11-02 10:57:00,False,[None],True,True,45,page_81,224
conv_167,user_500,John Smith,mUTUt@outlook.com,msg_5537,Inquiry,RATING,2023-09-24 03:10:00,True,[None],False,False,99,page_53,542
conv_168,user_613,John Williams,SDTFR@outlook.com,msg_2038,Support request,RATING,2023-11-16 20:08:00,False,[None],True,True,18,page_89,239
conv_169,user_73,Sophia Smith,mfNip@yahoo.com,msg_2202,Need help,COMMENT,2023-12-29 19:10:00,True,['+2185392686'],True,True,45,page_81,567
conv_170,user_932,Jane Johnson,qCMiv@outlook.com,msg_10000,Inquiry,RATING,2023-12-17 07:04:00,False,['+8277477111'],True,False,82,page_1,174
conv_171,user_988,Emily Smith,xLgLJ@gmail.com,msg_7460,Hello,RATING,2023-02-08 01:37:00,True,['+1206868784'],True,True,69,page_90,169
conv_172,user_180,Charlie Johnson,ONdEy@yahoo.com,msg_761,Support request,INBOX,2023-03-14 13:23:00,True,['+3855878339'],False,False,17,page_95,763
conv_173,user_803,Alice Garcia,OEszm@gmail.com,msg_6723,Hello,INBOX,2023-05-21 15:38:00,False,['+1664393037'],True,False,67,page_53,40
conv_174,user_638,Charlie Brown,furGk@gmail.com,msg_8095,Hello,INBOX,2023-01-22 04:49:00,True,[None],False,True,72,page_54,676
conv_175,user_176,Emily Brown,MHuho@outlook.com,msg_2396,Inquiry,RATING,2023-12-20 15:44:00,False,['+2556995699'],False,False,46,page_56,391
conv_176,user_254,Alice Smith,ryqis@outlook.com,msg_2006,Hello,INBOX,2023-08-04 20:29:00,True,[None],False,False,73,page_82,364
conv_177,user_360,Bob Jones,yidPw@outlook.com,msg_7599,Feedback,COMMENT,2023-09-18 04:14:00,False,['+7775591082'],False,False,45,page_92,798
conv_178,user_553,David Smith,lfeMR@outlook.com,msg_751,Inquiry,COMMENT,2023-05-31 14:26:00,True,[None],True,True,87,page_79,820
conv_179,user_813,Jane Williams,HyNnH@outlook.com,msg_7659,Feedback,COMMENT,2023-04-30 00:58:00,False,[None],True,False,61,page_58,420
conv_180,user_365,Sophia Smith,czrYI@gmail.com,msg_6364,Need help,INBOX,2023-05-12 02:08:00,False,[None],False,False,77,page_23,799
conv_181,user_161,Jane Garcia,iRgxV@gmail.com,msg_3829,Support request,COMMENT,2023-04-21 07:44:00,False,[None],True,True,70,page_76,556
